SupplierID,SupplierName,SupplierCity,SupplierState,Rating,LeadTimeDays
551,Supplier 551,Delhi,DL,3.5,3
552,Supplier 552,Ahmedabad,GJ,3.2,3
553,Supplier 553,Chennai,TN,3.4,2
554,Supplier 554,Chennai,TN,4.4,8
555,Supplier 555,Hyderabad,TG,3.2,13
556,Supplier 556,Ahmedabad,GJ,3.1,7
557,Supplier 557,Delhi,DL,4.0,7
558,Supplier 558,Chennai,TN,3.5,2
559,Supplier 559,Delhi,DL,4.5,8
560,Supplier 560,Mumbai,MH,3.4,6
561,Supplier 561,Indore,MP,3.4,14
562,Supplier 562,Delhi,DL,4.1,15
563,Supplier 563,Indore,MP,4.0,10
564,Supplier 564,Mumbai,MH,4.0,11
565,Supplier 565,Indore,MP,3.1,12
566,Supplier 566,Delhi,DL,4.1,3
567,Supplier 567,Hyderabad,TG,3.7,6
568,Supplier 568,Mumbai,MH,3.9,5
569,Supplier 569,Chennai,TN,5.0,13
570,Supplier 570,Hyderabad,TG,4.0,11
571,Supplier 571,Bengaluru,KA,4.0,4
572,Supplier 572,Hyderabad,TG,4.8,12
573,Supplier 573,Chennai,TN,4.5,14
574,Supplier 574,Bengaluru,KA,4.0,14
575,Supplier 575,Bengaluru,KA,3.1,10
576,Supplier 576,Chennai,TN,4.2,6
577,Supplier 577,Pune,MH,4.0,2
578,Supplier 578,Mumbai,MH,4.5,7
579,Supplier 579,Indore,MP,3.7,14
580,Supplier 580,Mumbai,MH,3.2,13
581,Supplier 581,Delhi,DL,3.1,8
582,Supplier 582,Mumbai,MH,4.2,4
583,Supplier 583,Pune,MH,4.3,13
584,Supplier 584,Indore,MP,3.2,14
585,Supplier 585,Delhi,DL,3.4,14
586,Supplier 586,Indore,MP,4.9,5
587,Supplier 587,Bengaluru,KA,4.8,12
588,Supplier 588,Bengaluru,KA,4.1,9
589,Supplier 589,Delhi,DL,3.2,6
590,Supplier 590,Delhi,DL,3.3,2
591,Supplier 591,Delhi,DL,3.2,3
592,Supplier 592,Chennai,TN,4.7,9
593,Supplier 593,Mumbai,MH,3.8,15
594,Supplier 594,Pune,MH,4.6,11
595,Supplier 595,Hyderabad,TG,3.1,6
596,Supplier 596,Hyderabad,TG,4.4,13
597,Supplier 597,Bengaluru,KA,4.5,12
598,Supplier 598,Ahmedabad,GJ,3.2,13
599,Supplier 599,Bengaluru,KA,4.0,15
600,Supplier 600,Pune,MH,4.2,14
601,Supplier 601,Indore,MP,4.8,3
602,Supplier 602,Bengaluru,KA,3.3,13
603,Supplier 603,Pune,MH,3.2,14
604,Supplier 604,Ahmedabad,GJ,4.4,11
605,Supplier 605,Indore,MP,3.6,9
606,Supplier 606,Mumbai,MH,4.6,15
607,Supplier 607,Indore,MP,3.3,8
608,Supplier 608,Mumbai,MH,3.2,15
609,Supplier 609,Mumbai,MH,3.8,6
610,Supplier 610,Indore,MP,3.5,9
611,Supplier 611,Chennai,TN,3.7,12
612,Supplier 612,Pune,MH,3.9,7
613,Supplier 613,Indore,MP,3.0,7
614,Supplier 614,Ahmedabad,GJ,3.2,8
615,Supplier 615,Delhi,DL,4.0,14
616,Supplier 616,Delhi,DL,4.8,6
617,Supplier 617,Pune,MH,3.7,9
618,Supplier 618,Mumbai,MH,3.2,6
619,Supplier 619,Indore,MP,4.6,5
620,Supplier 620,Pune,MH,3.2,9
621,Supplier 621,Bengaluru,KA,3.8,5
622,Supplier 622,Pune,MH,3.3,4
623,Supplier 623,Hyderabad,TG,4.3,15
624,Supplier 624,Chennai,TN,4.7,10
625,Supplier 625,Mumbai,MH,4.2,9
626,Supplier 626,Chennai,TN,4.3,7
627,Supplier 627,Indore,MP,4.8,11
628,Supplier 628,Mumbai,MH,4.3,11
629,Supplier 629,Delhi,DL,4.9,14
630,Supplier 630,Indore,MP,4.0,8
631,Supplier 631,Pune,MH,3.1,5
632,Supplier 632,Indore,MP,4.3,6
633,Supplier 633,Pune,MH,4.0,9
634,Supplier 634,Chennai,TN,4.2,7
635,Supplier 635,Mumbai,MH,4.3,13
636,Supplier 636,Delhi,DL,4.7,10
637,Supplier 637,Pune,MH,4.2,8
638,Supplier 638,Delhi,DL,4.5,4
639,Supplier 639,Mumbai,MH,3.4,10
640,Supplier 640,Bengaluru,KA,3.4,4
641,Supplier 641,Chennai,TN,4.1,5
642,Supplier 642,Indore,MP,3.1,2
643,Supplier 643,Hyderabad,TG,3.8,13
644,Supplier 644,Bengaluru,KA,3.5,15
645,Supplier 645,Indore,MP,4.3,3
646,Supplier 646,Chennai,TN,3.7,15
647,Supplier 647,Indore,MP,3.3,2
648,Supplier 648,Mumbai,MH,3.9,12
649,Supplier 649,Pune,MH,3.9,4
650,Supplier 650,Pune,MH,4.4,9
651,Supplier 651,Chennai,TN,3.8,15
652,Supplier 652,Mumbai,MH,3.7,8
653,Supplier 653,Bengaluru,KA,4.9,7
654,Supplier 654,Mumbai,MH,3.7,4
655,Supplier 655,Indore,MP,3.9,10
656,Supplier 656,Bengaluru,KA,3.5,6
657,Supplier 657,Delhi,DL,3.4,4
658,Supplier 658,Mumbai,MH,3.5,10
659,Supplier 659,Chennai,TN,3.8,14
660,Supplier 660,Bengaluru,KA,4.7,13
661,Supplier 661,Hyderabad,TG,4.1,11
662,Supplier 662,Ahmedabad,GJ,3.0,14
663,Supplier 663,Ahmedabad,GJ,4.7,14
664,Supplier 664,Pune,MH,3.4,3
665,Supplier 665,Hyderabad,TG,3.7,11
666,Supplier 666,Ahmedabad,GJ,3.8,8
667,Supplier 667,Mumbai,MH,3.3,6
668,Supplier 668,Bengaluru,KA,3.8,9
669,Supplier 669,Chennai,TN,4.4,14
670,Supplier 670,Bengaluru,KA,4.1,3
671,Supplier 671,Chennai,TN,4.6,3
672,Supplier 672,Pune,MH,3.7,2
673,Supplier 673,Bengaluru,KA,3.5,9
674,Supplier 674,Mumbai,MH,3.9,11
675,Supplier 675,Delhi,DL,3.4,12
676,Supplier 676,Chennai,TN,3.6,4
677,Supplier 677,Mumbai,MH,4.5,5
678,Supplier 678,Ahmedabad,GJ,4.8,12
679,Supplier 679,Pune,MH,3.8,7
680,Supplier 680,Pune,MH,4.1,14
681,Supplier 681,Hyderabad,TG,3.7,7
682,Supplier 682,Delhi,DL,4.9,8
683,Supplier 683,Hyderabad,TG,3.2,13
684,Supplier 684,Bengaluru,KA,4.8,3
685,Supplier 685,Ahmedabad,GJ,3.3,4
686,Supplier 686,Ahmedabad,GJ,3.7,14
687,Supplier 687,Pune,MH,3.2,2
688,Supplier 688,Chennai,TN,3.8,4
689,Supplier 689,Pune,MH,4.5,13
690,Supplier 690,Bengaluru,KA,3.1,4
691,Supplier 691,Ahmedabad,GJ,4.7,13
692,Supplier 692,Ahmedabad,GJ,4.1,11
693,Supplier 693,Indore,MP,3.8,13
694,Supplier 694,Mumbai,MH,3.3,2
695,Supplier 695,Indore,MP,3.3,13
696,Supplier 696,Mumbai,MH,4.3,2
697,Supplier 697,Indore,MP,4.8,2
698,Supplier 698,Indore,MP,3.3,11
699,Supplier 699,Chennai,TN,3.4,12
700,Supplier 700,Hyderabad,TG,4.4,15
701,Supplier 701,Delhi,DL,3.1,14
702,Supplier 702,Ahmedabad,GJ,4.7,14
703,Supplier 703,Mumbai,MH,3.4,8
704,Supplier 704,Indore,MP,4.2,5
705,Supplier 705,Bengaluru,KA,3.6,15
706,Supplier 706,Chennai,TN,3.9,9
707,Supplier 707,Ahmedabad,GJ,4.2,4
708,Supplier 708,Bengaluru,KA,4.6,13
709,Supplier 709,Chennai,TN,4.0,9
710,Supplier 710,Ahmedabad,GJ,4.1,10
711,Supplier 711,Pune,MH,4.7,11
712,Supplier 712,Delhi,DL,3.0,11
713,Supplier 713,Bengaluru,KA,4.0,3
714,Supplier 714,Chennai,TN,3.2,15
715,Supplier 715,Delhi,DL,5.0,11
716,Supplier 716,Indore,MP,4.2,15
717,Supplier 717,Chennai,TN,3.1,15
718,Supplier 718,Hyderabad,TG,4.3,5
719,Supplier 719,Hyderabad,TG,4.6,13
720,Supplier 720,Hyderabad,TG,4.1,12
721,Supplier 721,Hyderabad,TG,3.4,11
722,Supplier 722,Hyderabad,TG,3.9,15
723,Supplier 723,Pune,MH,4.0,6
724,Supplier 724,Pune,MH,3.3,5
725,Supplier 725,Bengaluru,KA,3.5,14
726,Supplier 726,Hyderabad,TG,4.3,4
727,Supplier 727,Bengaluru,KA,4.7,12
728,Supplier 728,Pune,MH,3.4,11
729,Supplier 729,Pune,MH,3.7,5
730,Supplier 730,Hyderabad,TG,3.9,7
731,Supplier 731,Delhi,DL,3.1,14
732,Supplier 732,Pune,MH,3.4,12
733,Supplier 733,Delhi,DL,3.6,10
734,Supplier 734,Indore,MP,4.5,6
735,Supplier 735,Delhi,DL,4.9,13
736,Supplier 736,Mumbai,MH,4.6,7
737,Supplier 737,Indore,MP,3.7,7
738,Supplier 738,Hyderabad,TG,4.3,8
739,Supplier 739,Chennai,TN,4.0,10
740,Supplier 740,Chennai,TN,3.3,7
741,Supplier 741,Chennai,TN,3.6,14
742,Supplier 742,Chennai,TN,4.8,3
743,Supplier 743,Pune,MH,4.7,13
744,Supplier 744,Mumbai,MH,4.2,3
745,Supplier 745,Bengaluru,KA,3.6,5
746,Supplier 746,Chennai,TN,3.3,8
747,Supplier 747,Pune,MH,4.0,5
748,Supplier 748,Hyderabad,TG,4.7,9
749,Supplier 749,Pune,MH,3.2,6
750,Supplier 750,Chennai,TN,4.9,7
751,Supplier 751,Mumbai,MH,4.3,8
752,Supplier 752,Pune,MH,4.7,3
753,Supplier 753,Delhi,DL,3.0,12
754,Supplier 754,Delhi,DL,4.6,12
755,Supplier 755,Indore,MP,3.7,13
756,Supplier 756,Bengaluru,KA,3.5,8
757,Supplier 757,Pune,MH,4.1,11
758,Supplier 758,Indore,MP,4.4,12
759,Supplier 759,Hyderabad,TG,3.0,11
760,Supplier 760,Mumbai,MH,4.8,13
761,Supplier 761,Indore,MP,3.8,2
762,Supplier 762,Ahmedabad,GJ,4.9,8
763,Supplier 763,Hyderabad,TG,4.6,7
764,Supplier 764,Ahmedabad,GJ,3.0,13
765,Supplier 765,Indore,MP,4.5,11
766,Supplier 766,Ahmedabad,GJ,4.7,12
767,Supplier 767,Hyderabad,TG,3.2,15
768,Supplier 768,Hyderabad,TG,4.6,11
769,Supplier 769,Mumbai,MH,4.5,11
770,Supplier 770,Ahmedabad,GJ,3.8,7
771,Supplier 771,Mumbai,MH,3.5,5
772,Supplier 772,Indore,MP,4.1,5
773,Supplier 773,Chennai,TN,3.9,6
774,Supplier 774,Pune,MH,4.1,8
775,Supplier 775,Mumbai,MH,3.1,9
776,Supplier 776,Bengaluru,KA,4.9,15
777,Supplier 777,Indore,MP,3.6,3
778,Supplier 778,Indore,MP,4.5,5
779,Supplier 779,Indore,MP,3.9,14
780,Supplier 780,Ahmedabad,GJ,3.8,14
781,Supplier 781,Ahmedabad,GJ,3.2,9
782,Supplier 782,Hyderabad,TG,4.4,4
783,Supplier 783,Bengaluru,KA,3.1,2
784,Supplier 784,Mumbai,MH,4.2,7
785,Supplier 785,Delhi,DL,3.4,12
786,Supplier 786,Chennai,TN,3.8,2
787,Supplier 787,Indore,MP,4.9,7
788,Supplier 788,Mumbai,MH,4.3,10
789,Supplier 789,Ahmedabad,GJ,3.9,2
790,Supplier 790,Hyderabad,TG,3.4,4
791,Supplier 791,Bengaluru,KA,3.7,14
792,Supplier 792,Hyderabad,TG,3.6,15
793,Supplier 793,Delhi,DL,4.5,7
794,Supplier 794,Chennai,TN,4.4,15
795,Supplier 795,Bengaluru,KA,4.1,9
796,Supplier 796,Chennai,TN,3.5,9
797,Supplier 797,Bengaluru,KA,3.3,10
798,Supplier 798,Hyderabad,TG,3.2,5
799,Supplier 799,Indore,MP,3.5,11
800,Supplier 800,Chennai,TN,3.0,13
801,Supplier 801,Mumbai,MH,4.2,8
802,Supplier 802,Indore,MP,3.6,9
803,Supplier 803,Indore,MP,4.7,8
804,Supplier 804,Chennai,TN,3.0,13
805,Supplier 805,Bengaluru,KA,4.2,12
806,Supplier 806,Bengaluru,KA,4.2,6
807,Supplier 807,Mumbai,MH,3.6,5
808,Supplier 808,Indore,MP,3.8,14
809,Supplier 809,Indore,MP,3.7,10
810,Supplier 810,Chennai,TN,4.9,2
811,Supplier 811,Ahmedabad,GJ,3.9,14
812,Supplier 812,Indore,MP,4.6,9
813,Supplier 813,Ahmedabad,GJ,4.4,2
814,Supplier 814,Mumbai,MH,4.3,14
815,Supplier 815,Bengaluru,KA,4.9,4
816,Supplier 816,Ahmedabad,GJ,4.3,2
817,Supplier 817,Delhi,DL,3.1,11
818,Supplier 818,Delhi,DL,4.6,12
819,Supplier 819,Indore,MP,3.4,9
820,Supplier 820,Hyderabad,TG,4.2,7
821,Supplier 821,Indore,MP,4.1,7
822,Supplier 822,Pune,MH,3.7,7
823,Supplier 823,Pune,MH,3.1,9
824,Supplier 824,Pune,MH,4.7,13
825,Supplier 825,Pune,MH,4.9,12
826,Supplier 826,Chennai,TN,3.1,15
827,Supplier 827,Delhi,DL,4.0,15
828,Supplier 828,Bengaluru,KA,4.5,4
829,Supplier 829,Pune,MH,3.4,3
830,Supplier 830,Ahmedabad,GJ,4.1,12
831,Supplier 831,Hyderabad,TG,4.4,13
832,Supplier 832,Indore,MP,4.2,9
833,Supplier 833,Pune,MH,4.0,11
834,Supplier 834,Delhi,DL,3.6,5
835,Supplier 835,Pune,MH,3.1,14
836,Supplier 836,Pune,MH,3.3,9
837,Supplier 837,Indore,MP,3.7,11
838,Supplier 838,Chennai,TN,4.6,9
839,Supplier 839,Hyderabad,TG,4.6,3
840,Supplier 840,Pune,MH,4.4,6
841,Supplier 841,Chennai,TN,4.2,13
842,Supplier 842,Mumbai,MH,3.7,9
843,Supplier 843,Pune,MH,3.8,3
844,Supplier 844,Delhi,DL,3.5,4
845,Supplier 845,Mumbai,MH,4.3,5
846,Supplier 846,Chennai,TN,3.7,5
847,Supplier 847,Mumbai,MH,3.3,4
848,Supplier 848,Ahmedabad,GJ,3.4,4
849,Supplier 849,Ahmedabad,GJ,3.1,11
850,Supplier 850,Ahmedabad,GJ,3.9,4
851,Supplier 851,Indore,MP,3.2,8
852,Supplier 852,Pune,MH,4.4,5
853,Supplier 853,Indore,MP,4.1,11
854,Supplier 854,Mumbai,MH,4.6,12
855,Supplier 855,Pune,MH,3.4,7
856,Supplier 856,Indore,MP,3.1,15
857,Supplier 857,Bengaluru,KA,4.7,3
858,Supplier 858,Bengaluru,KA,3.9,5
859,Supplier 859,Hyderabad,TG,4.7,8
860,Supplier 860,Ahmedabad,GJ,4.4,12
861,Supplier 861,Delhi,DL,4.5,15
862,Supplier 862,Chennai,TN,3.9,12
863,Supplier 863,Chennai,TN,3.4,14
864,Supplier 864,Indore,MP,3.5,7
865,Supplier 865,Delhi,DL,4.9,13
866,Supplier 866,Pune,MH,4.7,15
867,Supplier 867,Bengaluru,KA,4.1,13
868,Supplier 868,Indore,MP,3.9,11
869,Supplier 869,Indore,MP,3.2,5
870,Supplier 870,Mumbai,MH,4.9,4
871,Supplier 871,Chennai,TN,4.2,15
872,Supplier 872,Hyderabad,TG,4.1,5
873,Supplier 873,Indore,MP,4.7,9
874,Supplier 874,Bengaluru,KA,4.6,13
875,Supplier 875,Indore,MP,3.5,3
876,Supplier 876,Bengaluru,KA,4.2,7
877,Supplier 877,Bengaluru,KA,4.2,10
878,Supplier 878,Chennai,TN,4.3,9
879,Supplier 879,Pune,MH,3.4,11
880,Supplier 880,Pune,MH,4.2,15
881,Supplier 881,Hyderabad,TG,4.5,13
882,Supplier 882,Pune,MH,4.3,6
883,Supplier 883,Bengaluru,KA,4.6,10
884,Supplier 884,Pune,MH,4.6,2
885,Supplier 885,Delhi,DL,3.6,12
886,Supplier 886,Hyderabad,TG,4.4,10
887,Supplier 887,Chennai,TN,3.2,10
888,Supplier 888,Delhi,DL,4.3,2
889,Supplier 889,Hyderabad,TG,3.6,3
890,Supplier 890,Hyderabad,TG,3.7,3
891,Supplier 891,Delhi,DL,4.7,6
892,Supplier 892,Chennai,TN,4.7,8
893,Supplier 893,Indore,MP,3.1,3
894,Supplier 894,Delhi,DL,4.5,13
895,Supplier 895,Indore,MP,4.1,7
896,Supplier 896,Ahmedabad,GJ,3.7,2
897,Supplier 897,Chennai,TN,3.1,10
898,Supplier 898,Mumbai,MH,5.0,10
899,Supplier 899,Bengaluru,KA,3.8,12
900,Supplier 900,Delhi,DL,4.2,13
901,Supplier 901,Mumbai,MH,5.0,12
902,Supplier 902,Indore,MP,3.5,12
903,Supplier 903,Mumbai,MH,3.6,13
904,Supplier 904,Delhi,DL,4.1,8
905,Supplier 905,Indore,MP,4.2,12
906,Supplier 906,Ahmedabad,GJ,3.7,9
907,Supplier 907,Bengaluru,KA,4.6,14
908,Supplier 908,Mumbai,MH,3.6,9
909,Supplier 909,Chennai,TN,3.2,11
910,Supplier 910,Delhi,DL,3.2,13
911,Supplier 911,Ahmedabad,GJ,4.2,3
912,Supplier 912,Hyderabad,TG,3.9,14
913,Supplier 913,Chennai,TN,4.1,15
914,Supplier 914,Indore,MP,4.8,7
915,Supplier 915,Ahmedabad,GJ,4.0,12
916,Supplier 916,Chennai,TN,3.7,15
917,Supplier 917,Ahmedabad,GJ,3.7,9
918,Supplier 918,Mumbai,MH,4.3,8
919,Supplier 919,Mumbai,MH,4.9,3
920,Supplier 920,Hyderabad,TG,3.4,14
921,Supplier 921,Delhi,DL,3.2,14
922,Supplier 922,Hyderabad,TG,3.1,8
923,Supplier 923,Indore,MP,4.6,9
924,Supplier 924,Indore,MP,3.1,10
925,Supplier 925,Bengaluru,KA,4.4,9
926,Supplier 926,Ahmedabad,GJ,3.6,5
927,Supplier 927,Chennai,TN,3.3,10
928,Supplier 928,Pune,MH,4.7,15
929,Supplier 929,Indore,MP,3.1,5
930,Supplier 930,Indore,MP,3.3,12
931,Supplier 931,Hyderabad,TG,4.6,4
932,Supplier 932,Bengaluru,KA,3.2,12
933,Supplier 933,Pune,MH,4.7,2
934,Supplier 934,Mumbai,MH,4.8,12
935,Supplier 935,Pune,MH,3.2,9
936,Supplier 936,Pune,MH,3.9,4
937,Supplier 937,Hyderabad,TG,4.3,11
938,Supplier 938,Delhi,DL,5.0,3
939,Supplier 939,Delhi,DL,4.7,10
940,Supplier 940,Pune,MH,3.3,4
941,Supplier 941,Indore,MP,4.0,11
942,Supplier 942,Chennai,TN,3.9,9
943,Supplier 943,Ahmedabad,GJ,4.6,9
944,Supplier 944,Pune,MH,3.7,4
945,Supplier 945,Mumbai,MH,4.9,9
946,Supplier 946,Delhi,DL,4.0,15
947,Supplier 947,Delhi,DL,5.0,14
948,Supplier 948,Ahmedabad,GJ,4.3,4
949,Supplier 949,Hyderabad,TG,4.2,7
950,Supplier 950,Ahmedabad,GJ,3.1,4
951,Supplier 951,Pune,MH,4.2,7
952,Supplier 952,Ahmedabad,GJ,4.7,2
953,Supplier 953,Mumbai,MH,3.1,3
954,Supplier 954,Mumbai,MH,3.9,2
955,Supplier 955,Bengaluru,KA,3.2,7
956,Supplier 956,Ahmedabad,GJ,3.2,14
957,Supplier 957,Bengaluru,KA,3.7,4
958,Supplier 958,Mumbai,MH,3.5,8
959,Supplier 959,Ahmedabad,GJ,4.0,8
960,Supplier 960,Indore,MP,3.7,14
961,Supplier 961,Pune,MH,4.9,2
962,Supplier 962,Hyderabad,TG,4.2,5
963,Supplier 963,Indore,MP,4.7,3
964,Supplier 964,Mumbai,MH,4.5,15
965,Supplier 965,Delhi,DL,3.1,5
966,Supplier 966,Mumbai,MH,4.1,13
967,Supplier 967,Hyderabad,TG,3.8,11
968,Supplier 968,Hyderabad,TG,4.4,4
969,Supplier 969,Pune,MH,3.7,15
970,Supplier 970,Mumbai,MH,4.7,12
971,Supplier 971,Bengaluru,KA,3.6,9
972,Supplier 972,Pune,MH,4.2,4
973,Supplier 973,Bengaluru,KA,3.1,4
974,Supplier 974,Delhi,DL,4.2,3
975,Supplier 975,Ahmedabad,GJ,3.4,6
976,Supplier 976,Mumbai,MH,4.7,4
977,Supplier 977,Bengaluru,KA,4.0,13
978,Supplier 978,Mumbai,MH,4.8,10
979,Supplier 979,Chennai,TN,4.7,13
980,Supplier 980,Pune,MH,4.2,14
981,Supplier 981,Delhi,DL,4.6,6
982,Supplier 982,Bengaluru,KA,3.7,9
983,Supplier 983,Bengaluru,KA,4.1,4
984,Supplier 984,Pune,MH,4.1,13
985,Supplier 985,Hyderabad,TG,3.7,10
986,Supplier 986,Pune,MH,4.8,6
987,Supplier 987,Mumbai,MH,3.5,11
988,Supplier 988,Chennai,TN,3.1,11
989,Supplier 989,Bengaluru,KA,4.7,5
990,Supplier 990,Ahmedabad,GJ,4.3,8
991,Supplier 991,Bengaluru,KA,4.9,12
992,Supplier 992,Delhi,DL,3.9,15
993,Supplier 993,Hyderabad,TG,3.4,15
994,Supplier 994,Mumbai,MH,3.1,11
995,Supplier 995,Hyderabad,TG,3.1,10
996,Supplier 996,Hyderabad,TG,3.3,10
997,Supplier 997,Ahmedabad,GJ,4.6,7
998,Supplier 998,Ahmedabad,GJ,3.6,6
999,Supplier 999,Mumbai,MH,4.4,3
1000,Supplier 1000,Mumbai,MH,3.3,6
1001,Supplier 1001,Pune,MH,3.1,15
1002,Supplier 1002,Mumbai,MH,4.6,3
1003,Supplier 1003,Hyderabad,TG,4.5,6
1004,Supplier 1004,Chennai,TN,3.1,8
1005,Supplier 1005,Bengaluru,KA,4.6,10
1006,Supplier 1006,Indore,MP,4.1,11
1007,Supplier 1007,Chennai,TN,3.9,6
1008,Supplier 1008,Chennai,TN,3.5,3
1009,Supplier 1009,Chennai,TN,3.5,4
1010,Supplier 1010,Mumbai,MH,3.1,4
1011,Supplier 1011,Delhi,DL,3.9,13
1012,Supplier 1012,Hyderabad,TG,3.8,15
1013,Supplier 1013,Bengaluru,KA,4.5,12
1014,Supplier 1014,Ahmedabad,GJ,4.8,12
1015,Supplier 1015,Indore,MP,3.8,5
1016,Supplier 1016,Mumbai,MH,3.8,10
1017,Supplier 1017,Indore,MP,3.1,15
1018,Supplier 1018,Hyderabad,TG,3.5,3
1019,Supplier 1019,Indore,MP,4.8,7
1020,Supplier 1020,Indore,MP,4.3,6
1021,Supplier 1021,Pune,MH,3.6,8
1022,Supplier 1022,Indore,MP,3.5,2
1023,Supplier 1023,Pune,MH,3.9,11
1024,Supplier 1024,Pune,MH,3.6,10
1025,Supplier 1025,Hyderabad,TG,5.0,6
1026,Supplier 1026,Hyderabad,TG,5.0,12
1027,Supplier 1027,Indore,MP,3.8,4
1028,Supplier 1028,Delhi,DL,3.7,10
1029,Supplier 1029,Indore,MP,4.1,12
1030,Supplier 1030,Pune,MH,3.8,2
1031,Supplier 1031,Delhi,DL,4.7,4
1032,Supplier 1032,Delhi,DL,3.0,14
1033,Supplier 1033,Bengaluru,KA,3.1,6
1034,Supplier 1034,Pune,MH,3.2,7
1035,Supplier 1035,Pune,MH,4.4,2
1036,Supplier 1036,Bengaluru,KA,3.2,12
1037,Supplier 1037,Ahmedabad,GJ,3.8,2
1038,Supplier 1038,Indore,MP,4.7,11
1039,Supplier 1039,Indore,MP,4.9,11
1040,Supplier 1040,Hyderabad,TG,4.0,13
1041,Supplier 1041,Indore,MP,5.0,6
1042,Supplier 1042,Pune,MH,3.5,15
1043,Supplier 1043,Delhi,DL,3.5,11
1044,Supplier 1044,Pune,MH,4.0,6
1045,Supplier 1045,Chennai,TN,4.2,3
1046,Supplier 1046,Chennai,TN,4.1,6
1047,Supplier 1047,Chennai,TN,4.6,13
1048,Supplier 1048,Chennai,TN,4.6,5
1049,Supplier 1049,Ahmedabad,GJ,4.1,10
1050,Supplier 1050,Bengaluru,KA,4.3,5
1051,Supplier 1051,Pune,MH,4.0,10
1052,Supplier 1052,Indore,MP,4.0,11
1053,Supplier 1053,Ahmedabad,GJ,4.8,10
1054,Supplier 1054,Chennai,TN,3.4,6
1055,Supplier 1055,Chennai,TN,3.5,15
1056,Supplier 1056,Bengaluru,KA,4.6,7
1057,Supplier 1057,Indore,MP,3.5,2
1058,Supplier 1058,Chennai,TN,4.5,5
1059,Supplier 1059,Chennai,TN,3.8,2
1060,Supplier 1060,Delhi,DL,4.2,15
1061,Supplier 1061,Delhi,DL,4.7,10
1062,Supplier 1062,Mumbai,MH,3.5,4
1063,Supplier 1063,Bengaluru,KA,3.1,13
1064,Supplier 1064,Bengaluru,KA,4.0,7
1065,Supplier 1065,Chennai,TN,3.2,9
1066,Supplier 1066,Hyderabad,TG,4.8,13
1067,Supplier 1067,Pune,MH,3.4,6
1068,Supplier 1068,Chennai,TN,4.2,15
1069,Supplier 1069,Ahmedabad,GJ,4.4,8
1070,Supplier 1070,Mumbai,MH,4.7,2
1071,Supplier 1071,Pune,MH,3.8,12
1072,Supplier 1072,Bengaluru,KA,3.4,5
1073,Supplier 1073,Indore,MP,3.8,7
1074,Supplier 1074,Bengaluru,KA,4.2,15
1075,Supplier 1075,Indore,MP,4.2,5
1076,Supplier 1076,Ahmedabad,GJ,3.4,6
1077,Supplier 1077,Ahmedabad,GJ,3.7,3
1078,Supplier 1078,Delhi,DL,3.4,4
1079,Supplier 1079,Mumbai,MH,4.2,13
