InventoryID,ProductID,SupplierID,WarehouseID,DateID,QuantityReceived,QuantitySold,CurrentStock,PurchaseCost,SellingPrice,DeliveryDays,OrderStatus
185,1319,30,95,20230517,368,287,85,248.75,284.1,14,Delivered
186,1168,205,10,20230402,208,118,137,536.43,690.6,19,Pending
187,224,44,24,20220810,479,472,210,1156.96,1364.97,12,Delivered
188,650,176,78,20240922,118,89,272,189.2,242.52,19,Delivered
189,1943,241,19,20250804,119,40,369,66.36,88.95,14,Delivered
190,1918,414,47,20240530,252,54,225,333.01,369.37,15,Pending
191,517,326,23,20220621,82,8,214,619.5,755.38,16,Pending
192,1075,110,86,20230616,104,6,145,1344.54,1709.47,11,Delivered
193,407,179,54,20240913,253,137,198,1449.07,1847.15,20,Pending
194,1686,6,72,20250507,111,9,398,932.44,1146.43,12,Delivered
195,309,460,59,20221030,265,162,161,1192.18,1632.78,10,Delayed
196,1480,2,58,20220915,334,230,400,164.22,195.0,8,Pending
197,1427,280,100,20221207,317,193,234,535.17,792.56,20,Delivered
198,759,417,47,20220203,164,78,343,1232.2,1416.9,17,Delayed
199,934,212,53,20231222,190,138,270,794.29,1116.8,5,Delivered
200,940,220,48,20221229,293,83,487,665.1,807.44,15,Delayed
201,581,360,80,20220723,54,51,56,152.66,168.93,15,Delivered
202,1017,384,97,20250701,484,278,257,957.62,1246.19,3,Delayed
203,594,437,54,20230310,124,99,257,836.35,958.29,17,Delivered
204,719,496,60,20240425,474,420,256,31.26,39.07,9,Delayed
205,581,138,85,20230626,167,106,184,26.15,38.27,3,Delivered
206,54,79,48,20241128,429,379,212,515.93,765.47,15,Delivered
207,1139,499,51,20230130,325,201,150,1205.97,1605.32,6,Delayed
208,800,373,23,20240405,472,162,574,254.5,303.46,6,Delayed
209,243,324,74,20240313,441,390,184,1259.26,1465.3,12,Delivered
210,191,48,4,20240614,15,4,25,934.79,1231.56,4,Delayed
211,784,13,96,20220925,242,162,263,296.1,402.99,9,Pending
212,397,275,32,20240214,404,133,297,426.95,629.32,2,Delayed
213,1187,444,14,20220816,245,237,70,178.47,216.48,7,Delivered
214,159,254,47,20230302,210,25,436,1197.25,1515.12,17,Delayed
215,157,108,88,20240509,202,80,352,1216.65,1425.82,2,Delivered
216,1351,291,81,20250527,447,16,491,1464.36,2192.87,17,Delayed
217,1229,280,1,20221121,277,130,209,305.41,339.56,2,Delayed
218,1049,390,20,20230319,453,186,325,1349.89,1500.81,6,Delivered
219,171,373,89,20220917,147,70,323,314.87,357.94,19,Delayed
220,603,240,96,20241012,233,131,306,1385.08,1662.15,8,Delayed
221,1733,455,92,20230730,211,26,483,1193.87,1593.85,7,Delivered
222,1954,370,63,20240606,462,228,450,902.57,1090.91,12,Delayed
223,221,311,50,20240529,112,72,220,573.46,775.94,4,Pending
224,343,456,5,20241113,139,104,185,913.75,1325.76,18,Pending
225,816,16,15,20230104,424,165,478,1190.53,1479.95,4,Delivered
226,1346,191,48,20221025,409,160,311,34.26,47.12,12,Delivered
227,954,291,42,20230422,297,33,461,439.75,521.05,8,Delivered
228,1149,143,92,20250529,494,452,80,869.44,1181.14,15,Pending
229,1666,164,26,20230208,35,31,259,89.25,107.97,5,Delivered
230,928,88,77,20231101,312,196,237,873.09,1059.94,20,Delivered
231,1868,237,37,20220926,440,206,252,1345.83,1974.62,3,Pending
232,1321,9,9,20240820,58,53,217,1090.42,1319.27,13,Pending
233,164,285,100,20231004,262,24,439,461.7,689.59,17,Delayed
234,1981,467,16,20240205,490,316,226,63.35,70.9,2,Delivered
235,216,166,89,20240611,125,21,149,302.92,442.54,13,Delayed
236,11,479,89,20220418,142,11,187,91.05,111.24,10,Pending
237,1409,314,49,20230707,367,87,350,883.51,1014.23,12,Delivered
238,1543,300,53,20250728,238,171,129,792.21,947.65,17,Delayed
239,1004,500,36,20231022,405,374,278,354.23,427.03,11,Delayed
240,170,181,72,20230512,347,331,121,1048.55,1184.92,17,Delivered
241,436,7,86,20230319,249,209,237,298.12,340.4,8,Delayed
242,1560,271,66,20231004,399,159,472,989.83,1424.49,5,Delivered
243,449,470,47,20240229,241,222,281,320.47,403.82,4,Pending
244,867,85,88,20230922,497,445,347,979.61,1135.29,5,Delayed
245,226,124,3,20240801,105,34,85,724.84,951.25,13,Pending
246,243,475,71,20220622,191,110,189,242.92,316.01,18,Pending
247,109,226,35,20240128,60,3,252,1103.36,1400.2,11,Delivered
248,825,91,77,20230720,281,252,294,661.68,908.13,9,Delivered
249,450,59,7,20220315,304,136,290,117.45,133.94,9,Delayed
250,1433,367,52,20240313,211,25,298,1106.21,1606.01,10,Pending
251,422,88,27,20231213,336,147,336,1106.15,1258.46,18,Delayed
252,1275,245,95,20230918,446,352,216,271.94,373.26,7,Delivered
253,681,461,59,20221018,16,15,220,514.4,602.37,10,Delivered
254,350,348,98,20220120,314,180,376,883.08,1143.87,9,Pending
255,225,24,3,20250307,358,148,326,797.4,930.5,6,Delivered
256,205,156,95,20231119,241,125,295,1484.89,1786.23,17,Pending
257,747,235,2,20231224,164,85,344,1166.3,1682.72,17,Delivered
258,553,352,67,20250803,20,4,226,1287.27,1755.51,6,Pending
259,1020,16,32,20250328,389,356,253,551.94,771.47,8,Pending
260,1309,56,36,20250707,357,278,309,1481.25,2148.46,7,Pending
261,1865,348,45,20231110,210,150,273,1418.99,1717.69,8,Delivered
262,1187,267,90,20231205,437,313,186,661.52,848.08,13,Pending
263,226,497,2,20241018,484,350,209,710.15,823.84,11,Delayed
264,1144,341,21,20230914,259,147,145,1203.68,1331.56,3,Delivered
265,580,423,76,20220910,37,31,162,27.53,34.16,2,Delivered
266,515,71,45,20230804,412,257,442,249.45,282.98,10,Delivered
267,1502,101,56,20250413,480,41,587,343.91,443.39,13,Delivered
268,1663,348,82,20240302,226,102,174,1341.69,1969.71,11,Delivered
269,1155,224,87,20231023,421,296,196,1031.32,1216.75,6,Pending
270,1136,103,39,20230917,53,19,324,1392.14,1788.15,7,Pending
271,1603,449,56,20220716,80,67,239,1047.32,1363.11,13,Pending
272,726,219,60,20240511,220,118,116,1370.59,1522.13,15,Delivered
273,1548,72,79,20230912,412,124,585,778.07,895.49,19,Delayed
274,1798,151,7,20240315,74,51,26,704.96,990.61,18,Pending
275,1719,28,11,20220423,148,27,291,899.62,1285.36,20,Pending
276,1415,170,8,20220906,389,299,351,1114.26,1249.32,8,Delayed
277,296,288,95,20241011,79,28,130,465.32,569.72,2,Pending
278,1278,353,26,20220823,44,0,122,913.61,1049.2,5,Delivered
279,419,54,61,20220220,436,258,405,598.26,879.69,11,Pending
280,991,95,31,20250124,143,112,94,659.88,893.79,7,Delivered
281,1677,382,85,20230508,97,65,311,316.52,409.0,11,Delayed
282,205,492,76,20241006,198,170,168,598.96,826.0,5,Pending
283,854,417,55,20221031,24,9,249,197.79,248.38,20,Pending
284,70,331,84,20250907,327,227,121,1364.0,1693.94,6,Pending
285,1808,371,59,20230722,14,2,195,760.94,1099.11,8,Pending
286,1849,362,68,20240310,272,32,329,990.76,1229.28,20,Pending
287,942,367,18,20230725,411,390,176,1386.75,1563.26,17,Pending
288,1972,242,78,20250911,102,73,288,1167.59,1529.75,6,Delayed
289,664,302,75,20231214,309,206,137,86.5,124.63,7,Delivered
290,198,341,14,20241019,488,347,384,499.02,595.14,9,Delivered
291,1843,451,23,20240226,396,215,213,111.65,134.0,3,Delayed
292,150,227,98,20240206,320,15,394,495.32,683.29,14,Delivered
293,1306,294,72,20230214,110,32,329,667.52,810.66,8,Delayed
294,332,223,68,20230129,54,37,29,951.09,1300.58,8,Delivered
295,1659,72,1,20240107,406,208,488,828.94,935.7,7,Delayed
296,1495,491,94,20250808,280,254,123,1251.96,1662.79,17,Delayed
297,722,183,80,20250218,446,70,410,669.54,904.01,4,Delayed
298,161,66,67,20230903,61,7,309,361.25,484.29,12,Delivered
299,459,421,38,20230530,209,180,212,120.57,174.66,11,Delivered
300,1095,295,31,20241126,487,312,431,482.11,649.62,19,Delayed
301,1827,57,75,20240822,489,469,154,986.78,1098.2,15,Pending
302,411,172,98,20220502,81,26,335,1228.81,1513.7,3,Delivered
303,1011,38,73,20250603,369,18,528,1471.96,2178.45,4,Delayed
304,981,485,17,20230709,380,21,412,72.69,94.72,13,Pending
305,979,156,30,20220213,486,28,471,1164.95,1659.52,19,Delayed
306,1762,195,88,20251101,387,9,660,733.62,920.58,14,Delayed
307,257,221,90,20240524,291,70,280,668.17,974.77,13,Pending
308,397,176,56,20220429,131,59,119,891.15,1061.23,19,Delayed
309,94,411,2,20230527,426,29,436,103.85,132.45,11,Delivered
310,644,180,78,20250903,465,125,489,211.98,266.91,5,Delayed
311,158,40,33,20250118,115,63,234,1348.51,1946.58,16,Delayed
312,620,483,47,20250203,159,62,366,1341.61,1646.88,19,Delayed
313,214,28,45,20240421,371,318,301,434.08,512.83,6,Delayed
314,473,157,95,20250206,117,15,292,1092.87,1546.6,3,Delivered
315,1431,226,84,20240718,497,58,449,758.38,844.46,10,Delayed
316,787,154,11,20220503,152,98,307,47.9,60.02,16,Delivered
317,460,106,49,20230113,347,220,399,97.34,118.96,19,Pending
318,1920,14,78,20231120,482,424,192,1219.16,1629.27,2,Pending
319,1487,425,80,20240607,453,218,264,1214.95,1605.33,11,Delayed
320,950,218,74,20250309,403,265,271,260.57,326.37,9,Delivered
321,1859,8,36,20251029,496,140,399,1498.23,2110.31,11,Pending
322,1170,203,5,20250614,150,92,195,995.66,1406.84,2,Delivered
323,629,292,85,20231020,438,135,394,676.84,749.2,2,Pending
324,76,495,46,20240910,336,284,163,624.74,832.05,4,Pending
325,1838,313,71,20231006,498,32,691,286.11,402.38,10,Pending
326,1780,254,17,20230411,332,89,318,1309.43,1783.96,9,Delivered
327,1341,20,24,20251102,269,225,340,489.65,647.01,9,Delivered
328,1950,366,34,20230612,18,11,283,1083.11,1451.62,13,Delivered
329,159,260,57,20220820,271,39,353,321.98,427.64,15,Delivered
330,1315,219,37,20221021,22,10,196,515.78,651.56,13,Pending
331,1931,499,38,20250627,25,5,208,86.02,126.63,20,Delivered
332,218,312,28,20231004,271,260,308,1075.0,1586.67,14,Delayed
333,67,337,93,20221104,205,195,50,1433.67,2126.78,9,Delayed
334,1032,295,81,20250127,385,214,446,1104.91,1590.01,18,Delivered
335,1244,242,85,20241210,276,225,213,418.39,600.14,11,Delivered
336,674,125,99,20240112,128,116,173,1127.32,1292.1,9,Pending
337,1501,491,53,20240112,50,22,314,768.35,1126.29,17,Delayed
338,472,230,54,20230416,301,64,512,382.52,559.9,20,Delayed
339,283,311,34,20230811,184,80,164,140.63,178.38,6,Delayed
340,1013,324,99,20230210,470,92,610,42.96,49.33,10,Delayed
341,1457,477,61,20220726,74,4,290,55.42,64.66,4,Delivered
342,1055,444,68,20240305,472,216,437,208.63,287.65,9,Delayed
343,601,61,44,20231121,312,311,56,1491.32,1667.44,13,Pending
344,1866,210,81,20240710,389,223,314,1141.34,1575.1,7,Delayed
345,1569,302,66,20220621,87,0,276,1017.38,1303.68,12,Pending
346,362,261,93,20250419,153,24,247,460.08,568.86,20,Delayed
347,1838,269,75,20241106,442,218,370,497.74,610.94,7,Delivered
348,86,417,95,20230308,230,132,240,871.2,1172.8,5,Pending
349,584,85,16,20230813,150,124,250,350.98,409.85,10,Delayed
350,1544,55,30,20250926,152,36,165,326.13,468.16,7,Delivered
351,1226,463,6,20250110,285,99,189,742.78,1061.4,13,Delivered
352,578,483,74,20240523,384,227,423,206.74,264.95,5,Delayed
353,1447,471,16,20240629,465,221,496,409.32,591.8,10,Delayed
354,1370,60,46,20220611,391,113,316,504.13,656.79,10,Pending
355,1292,377,66,20251008,407,37,531,1340.56,1495.18,5,Delayed
356,1627,267,41,20230125,440,285,173,1424.79,1924.77,9,Delivered
357,1201,193,29,20251011,110,33,317,244.12,348.0,17,Pending
358,270,102,82,20220701,496,264,341,24.73,27.87,19,Delayed
359,428,364,23,20220321,224,176,182,927.8,1254.77,9,Delayed
360,715,248,68,20250907,498,92,559,1264.22,1833.14,17,Pending
361,1632,323,51,20250509,192,139,299,457.22,542.98,11,Pending
362,1986,229,42,20230522,349,217,191,280.77,416.25,5,Pending
363,1428,204,91,20220920,406,247,409,909.57,1250.56,2,Pending
364,549,260,28,20240417,41,35,171,407.18,499.63,14,Pending
365,871,205,34,20220422,147,124,135,522.97,746.49,11,Pending
366,840,114,74,20221208,284,105,235,1422.86,1914.2,12,Delivered
367,1239,277,3,20220213,420,194,272,1175.04,1449.19,13,Delayed
368,130,336,7,20241128,117,46,345,313.69,364.76,19,Pending
369,1761,368,30,20230818,420,82,529,510.62,605.72,9,Delivered
370,74,433,3,20241214,62,32,233,1191.19,1330.46,11,Pending
371,50,118,81,20251110,136,8,267,1129.87,1610.29,14,Delayed
372,821,68,95,20230707,451,43,447,129.36,179.66,15,Delivered
373,31,381,70,20250523,480,77,451,1109.09,1571.63,8,Delayed
374,1760,160,42,20240520,272,11,415,425.59,502.65,10,Delayed
375,1181,242,49,20230820,229,23,319,1450.99,1921.69,17,Pending
376,1859,360,69,20241103,135,97,46,1489.87,2072.44,13,Delayed
377,1464,56,58,20230404,305,12,496,1161.38,1485.21,17,Delayed
378,224,330,40,20231112,83,80,45,161.18,188.21,17,Delayed
379,512,43,19,20240405,325,242,350,1090.09,1446.17,9,Delivered
380,1572,253,33,20240423,169,86,160,74.03,101.84,15,Delivered
381,550,354,27,20250225,416,250,445,759.73,1127.28,9,Pending
382,945,363,62,20241119,294,41,306,650.04,735.2,6,Delivered
383,332,267,96,20220906,95,25,294,1307.23,1497.39,15,Pending
384,350,321,68,20240924,81,70,225,611.12,744.77,15,Pending
385,1475,473,87,20230710,277,165,302,854.44,996.6,11,Delayed
386,1403,105,79,20240131,275,128,388,705.06,1039.6,6,Delivered
387,1074,367,61,20220121,172,106,157,242.52,273.28,2,Pending
388,1437,97,26,20251122,58,34,258,509.93,573.39,16,Delayed
389,321,35,45,20250727,296,115,357,950.66,1398.57,10,Pending
390,1681,467,55,20250411,383,156,415,944.26,1191.0,10,Delayed
391,1109,329,85,20230219,49,37,90,172.4,204.57,7,Pending
392,1155,53,17,20241205,310,196,283,871.97,1256.82,10,Delayed
393,1785,316,86,20240827,117,21,97,1179.38,1763.92,4,Delayed
394,301,74,22,20240831,457,0,622,135.13,201.06,6,Delayed
395,1654,226,55,20250923,251,83,322,760.56,872.3,19,Pending
396,773,397,50,20251217,252,90,321,1261.2,1547.23,4,Delayed
397,1725,110,22,20250721,436,142,367,1263.02,1672.48,17,Delayed
398,1616,129,88,20220904,295,222,251,283.46,410.01,16,Delayed
399,709,373,55,20230314,325,286,136,586.04,686.61,2,Delivered
400,906,185,68,20230204,12,9,161,506.11,741.16,10,Delayed
401,1888,7,78,20230714,27,20,147,969.68,1221.14,10,Pending
402,1281,30,74,20220304,451,367,325,1495.9,2023.8,17,Delivered
403,970,384,83,20250122,423,53,389,566.91,762.59,6,Delayed
404,1508,91,17,20220619,224,213,72,102.95,139.5,3,Pending
405,200,440,70,20230723,446,99,355,512.34,701.29,12,Delayed
406,347,464,76,20240121,274,7,473,636.24,869.8,3,Delivered
407,396,423,98,20241024,85,34,93,275.43,307.88,8,Delayed
